=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.04 14:23:28 =~=~=~=~=~=~=~=~=~=~=~=
Millis: 42814, Voltage 1: 2.59V, Voltage 2: 1.27V
Millis: 42882, Voltage 1: 2.46V, Voltage 2: 1.28V
Millis: 42928, Voltage 1: 2.39V, Voltage 2: 1.23V
Millis: 42982, Voltage 1: 2.54V, Voltage 2: 1.24V
Millis: 43024, Voltage 1: 2.38V, Voltage 2: 1.30V
Millis: 43071, Voltage 1: 2.58V, Voltage 2: 1.28V
Millis: 43118, Voltage 1: 3.77V, Voltage 2: 1.28V
Millis: 43173, Voltage 1: 2.41V, Voltage 2: 1.31V
Millis: 43214, Voltage 1: 2.61V, Voltage 2: 1.30V
Millis: 43272, Voltage 1: 2.79V, Voltage 2: 1.40V
Millis: 43322, Voltage 1: 2.84V, Voltage 2: 1.27V
Millis: 43366, Voltage 1: 2.29V, Voltage 2: 1.21V
Millis: 43423, Voltage 1: 2.27V, Voltage 2: 1.21V
Millis: 43481, Voltage 1: 2.25V, Voltage 2: 1.29V
Millis: 43539, Voltage 1: 2.20V, Voltage 2: 1.28V
Millis: 43623, Voltage 1: 2.21V, Voltage 2: 1.22V
Millis: 43695, Voltage 1: 2.34V, Voltage 2: 1.25V
Millis: 43740, Voltage 1: 2.36V, Voltage 2: 1.25V
Millis: 43796, Voltage 1: 3.16V, Voltage 2: 1.26V
Millis: 43847, Voltage 1: 2.53V, Voltage 2: 1.29V
Millis: 43905, Voltage 1: 2.69V, Voltage 2: 1.29V
Millis: 43951, Voltage 1: 2.83V, Voltage 2: 1.38V
Millis: 44013, Voltage 1: 2.62V, Voltage 2: 1.31V
Millis: 44068, Voltage 1: 2.44V, Voltage 2: 1.25V
Millis: 44103, Voltage 1: 2.48V, Voltage 2: 1.31V
Millis: 44152, Voltage 1: 2.52V, Voltage 2: 1.26V
Millis: 44205, Voltage 1: 2.56V, Voltage 2: 1.27V
Millis: 44274, Voltage 1: 2.57V, Voltage 2: 1.28V
Millis: 44311, Voltage 1: 2.69V, Voltage 2: 1.29V
Millis: 44378, Voltage 1: 2.58V, Voltage 2: 1.28V
Millis: 44431, Voltage 1: 2.65V, Voltage 2: 1.29V
Millis: 44475, Voltage 1: 2.01V, Voltage 2: 1.26V
Millis: 44521, Voltage 1: 2.47V, Voltage 2: 1.26V
Millis: 44561, Voltage 1: 2.55V, Voltage 2: 1.26V
Millis: 44610, Voltage 1: 2.67V, Voltage 2: 1.30V
Millis: 44666, Voltage 1: 2.76V, Voltage 2: 1.32V
Millis: 44734, Voltage 1: 2.40V, Voltage 2: 1.25V
Millis: 44801, Voltage 1: 2.58V, Voltage 2: 1.26V
Millis: 44841, Voltage 1: 2.60V, Voltage 2: 1.26V
Millis: 44893, Voltage 1: 2.57V, Voltage 2: 1.32V
Millis: 44948, Voltage 1: 2.72V, Voltage 2: 1.30V
Millis: 45014, Voltage 1: 2.65V, Voltage 2: 1.26V
Millis: 45087, Voltage 1: 2.26V, Voltage 2: 1.22V
Millis: 45141, Voltage 1: 1.71V, Voltage 2: 1.23V
Millis: 45205, Voltage 1: 2.25V, Voltage 2: 1.23V
Millis: 45256, Voltage 1: 2.53V, Voltage 2: 1.27V
Millis: 45317, Voltage 1: 2.63V, Voltage 2: 1.28V
Millis: 45354, Voltage 1: 2.39V, Voltage 2: 1.23V
Millis: 45402, Voltage 1: 2.34V, Voltage 2: 1.22V
Millis: 45452, Voltage 1: 2.30V, Voltage 2: 1.23V
Millis: 45501, Voltage 1: 2.36V, Voltage 2: 1.22V
