=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.04 14:19:00 =~=~=~=~=~=~=~=~=~=~=~=
Millis: 359276, Voltage 1: 2.30V, Voltage 2: 0.94V
Millis: 359360, Voltage 1: 1.77V, Voltage 2: 0.95V
Millis: 359429, Voltage 1: 2.29V, Voltage 2: 0.96V
Millis: 359499, Voltage 1: 2.48V, Voltage 2: 0.98V
Millis: 359568, Voltage 1: 2.39V, Voltage 2: 0.95V
Millis: 359624, Voltage 1: 2.20V, Voltage 2: 0.94V
Millis: 359696, Voltage 1: 2.29V, Voltage 2: 0.95V
Millis: 359770, Voltage 1: 2.27V, Voltage 2: 0.94V
Millis: 359841, Voltage 1: 2.51V, Voltage 2: 0.94V
Millis: 359916, Voltage 1: 2.18V, Voltage 2: 0.94V
Millis: 359980, Voltage 1: 2.48V, Voltage 2: 0.95V
Millis: 360057, Voltage 1: 2.31V, Voltage 2: 0.96V
Millis: 360143, Voltage 1: 2.59V, Voltage 2: 0.96V
Millis: 360221, Voltage 1: 2.19V, Voltage 2: 0.95V
Millis: 360305, Voltage 1: 2.34V, Voltage 2: 0.94V
Millis: 360372, Voltage 1: 2.18V, Voltage 2: 0.95V
Millis: 360457, Voltage 1: 2.39V, Voltage 2: 0.96V
Millis: 360516, Voltage 1: 2.22V, Voltage 2: 0.94V
Millis: 360593, Voltage 1: 2.29V, Voltage 2: 0.98V
Millis: 360671, Voltage 1: 2.36V, Voltage 2: 0.95V
Millis: 360738, Voltage 1: 2.55V, Voltage 2: 0.96V
Millis: 360807, Voltage 1: 2.66V, Voltage 2: 0.95V
Millis: 360889, Voltage 1: 2.23V, Voltage 2: 0.95V
Millis: 360952, Voltage 1: 2.46V, Voltage 2: 1.01V
Millis: 361040, Voltage 1: 2.33V, Voltage 2: 0.94V
Millis: 361109, Voltage 1: 2.38V, Voltage 2: 0.95V
Millis: 361184, Voltage 1: 2.19V, Voltage 2: 0.95V
Millis: 361258, Voltage 1: 1.73V, Voltage 2: 0.94V
Millis: 361308, Voltage 1: 2.42V, Voltage 2: 0.96V
Millis: 361399, Voltage 1: 2.58V, Voltage 2: 0.97V
Millis: 361449, Voltage 1: 2.49V, Voltage 2: 0.94V
Millis: 361541, Voltage 1: 2.39V, Voltage 2: 0.96V
Millis: 361613, Voltage 1: 2.44V, Voltage 2: 0.94V
Millis: 361691, Voltage 1: 2.38V, Voltage 2: 0.96V
Millis: 361780, Voltage 1: 2.29V, Voltage 2: 0.95V
Millis: 361849, Voltage 1: 2.27V, Voltage 2: 0.93V
Millis: 361918, Voltage 1: 2.26V, Voltage 2: 0.95V
Millis: 361978, Voltage 1: 2.47V, Voltage 2: 0.96V
Millis: 362046, Voltage 1: 2.76V, Voltage 2: 0.97V
Millis: 362122, Voltage 1: 2.31V, Voltage 2: 0.95V
Millis: 362186, Voltage 1: 2.35V, Voltage 2: 0.95V
Millis: 362274, Voltage 1: 2.28V, Voltage 2: 0.94V
Millis: 362349, Voltage 1: 2.45V, Voltage 2: 0.96V
Millis: 362418, Voltage 1: 2.30V, Voltage 2: 0.95V
Millis: 362487, Voltage 1: 3.19V, Voltage 2: 0.93V
Millis: 362560, Voltage 1: 2.48V, Voltage 2: 0.96V
Millis: 362639, Voltage 1: 2.46V, Voltage 2: 0.98V
Millis: 362710, Voltage 1: 2.68V, Voltage 2: 0.96V
Millis: 362776, Voltage 1: 2.40V, Voltage 2: 0.95V
Millis: 362861, Voltage 1: 2.48V, Voltage 2: 0.96V
Millis: 362937, Voltage 1: 2.38V, Voltage 2: 0.95V
Millis: 362994, Voltage 1: 2.45V, Voltage 2: 0.95V
Millis: 363066, Voltage 1: 2.38V, Voltage 2: 0.95V
Millis: 363131, Voltage 1: 2.04V, Voltage 2: 0.95V
Millis: 363212, Voltage 1: 2.52V, Voltage 2: 0.95V
Millis: 363276, Voltage 1: 2.60V, Voltage 2: 0.96V
Millis: 363347, Voltage 1: 2.49V, Voltage 2: 0.94V
Millis: 363421, Voltage 1: 2.20V, Voltage 2: 0.94V
Millis: 363502, Voltage 1: 2.17V, Voltage 2: 0.95V
Millis: 363592, Voltage 1: 2.33V, Voltage 2: 0.95V
Millis: 363667, Voltage 1: 2.21V, Voltage 2: 0.96V
Millis: 363740, Voltage 1: 2.66V, Voltage 2: 0.95V
Millis: 363821, Voltage 1: 2.24V, Voltage 2: 0.95V
Millis: 363904, Voltage 1: 2.59V, Voltage 2: 0.96V
Millis: 363968, Voltage 1: 2.23V, Voltage 2: 0.95V
Millis: 364038, Voltage 1: 2.28V, Voltage 2: 0.95V
Millis: 364087, Voltage 1: 2.36V, Voltage 2: 0.95V
Millis: 364146, Voltage 1: 2.23V, Voltage 2: 0.97V
Millis: 364239, Voltage 1: 2.45V, Voltage 2: 0.95V
Millis: 364298, Voltage 1: 2.22V, Voltage 2: 0.94V
Millis: 364346, Voltage 1: 2.41V, Voltage 2: 0.95V
Millis: 364428, Voltage 1: 2.23V, Voltage 2: 0.96V
